,u,v,w
2013-07-30 15:40:22,0.12653857584364284,1.510864475534015,0.0167252324758687
2013-07-30 15:55:22,0.15152108104339215,1.573853109512046,0.012972490385827908
2013-07-30 16:10:22,0.15807852387156665,1.68738158756556,0.016806884182457137
2013-07-30 16:25:22,0.146820118945489,1.6909811009357762,0.019480333470749317
2013-07-30 16:40:22,0.15849493581956028,1.824953727840418,0.010624186025065256
2013-07-30 16:55:22,0.1531478550475637,1.8216013890967906,0.014317161372582508
2013-07-30 17:10:22,0.17329921139075583,1.8441522490612008,0.010266944238542583
2013-07-30 17:25:22,0.14904608716131948,1.811163649483233,0.016327592765323005
2013-07-30 17:40:22,0.138599664885825,1.8380100759961646,0.020778265953715475
2013-07-30 17:55:22,0.1388969292963552,1.7834886261479075,0.017735744750166635
2013-07-30 18:10:22,0.13647583837932944,1.7972297739376506,0.01872431637618117
2013-07-30 18:25:22,0.13433080316423504,1.6432756852147317,0.020114418271235925
2013-07-30 18:40:22,0.10988080350565678,1.591315227193191,0.012847057918851473
2013-07-30 18:55:22,0.12576855852980004,1.5372908542690251,0.009181737393715497
2013-07-30 19:10:22,0.09725056184152149,1.4731795228053461,0.01243231619995717
2013-07-30 19:25:22,0.09222890295861653,1.2830013614798732,0.007905910179339988
2013-07-30 19:40:22,0.08259444383724512,1.1689492756555924,0.0006355127152180015
2013-07-30 19:55:21,0.11610722252050389,1.0027057868477918,-0.0029762228479753203
2013-07-30 20:10:21,0.0890553344399586,0.831407474060643,-0.0017237818992876456
2013-07-30 20:25:21,0.039967737232363174,0.6234064126135967,-0.004046856340608825
2013-07-30 20:40:21,0.025541200261630804,0.25928904319547313,-0.010374939216296815
2013-07-30 20:55:21,-0.012834906589030484,-0.10278339035641423,-0.0013951692177238757
2013-07-30 21:10:21,-0.09767521191793314,-0.5631222345086313,0.0066477813287104835
2013-07-30 21:25:21,-0.012921300619835863,-0.8754625822509542,0.005468958863532477
2013-07-30 21:40:21,-0.16239097572712272,-1.3131058872211723,-0.012949516424374564
2013-07-30 21:55:21,-0.1907297859645579,-1.5595865230750192,-0.031196499866828323
2013-07-30 22:10:21,-0.1901348256271024,-1.7025192111655696,-0.042926113335792854
2013-07-30 22:25:21,-0.18983890195450442,-1.726406028645854,-0.04008326569820407
2013-07-30 22:40:21,-0.19033028578473457,-1.7020953666280363,-0.030696815264489523
2013-07-30 22:55:21,-0.14766281753357405,-1.7433659017234218,-0.02486218657199093
2013-07-30 23:10:21,-0.18047299629375507,-1.81683729485609,-0.04011476593031291
2013-07-30 23:25:21,-0.13813554475303308,-1.829219316200751,-0.033892093778381344
2013-07-30 23:40:21,-0.13971916120881975,-1.7889062607131647,-0.033933061722087675
2013-07-30 23:55:21,-0.1427286163673285,-1.7830839595501016,-0.05336254723407499
2013-07-31 00:10:21,-0.19015613222026514,-1.763642923264375,-0.0567544892084189
2013-07-31 00:25:21,-0.15113667050044222,-1.6907502770027558,-0.04273320840652355
2013-07-31 00:40:21,-0.10302053495141536,-1.549203217226023,-0.03789784554752873
2013-07-31 00:55:21,-0.08639365423088027,-1.479050187136864,-0.04393818968367526
2013-07-31 01:10:21,-0.09219734000134149,-1.4162063974517483,-0.027130719534099793
2013-07-31 01:25:21,-0.10263823705818222,-1.3623115907928707,-0.03832517919563778
2013-07-31 01:40:21,-0.08527468632503483,-1.2309978449346364,-0.031474373930257496
2013-07-31 01:55:21,-0.053341229543826335,-1.0578003429043732,-0.02852092057189524
2013-07-31 02:10:21,-0.025581729537075965,-0.8889602027156865,-0.024668790545870404
2013-07-31 02:25:21,-0.008707542369622324,-0.6485580240602488,-0.025824503641627347
2013-07-31 02:40:21,0.010630560430583998,-0.40292283604343754,-0.021381994714876
2013-07-31 02:55:21,-0.10310055239514959,-0.08585234295274964,0.006326486977334902
2013-07-31 03:10:21,0.040216832450556496,0.36073657735587533,0.002555990066805582
2013-07-31 03:25:21,0.020342697105062715,0.6557607707379851,0.01499980437568284
2013-07-31 03:40:21,0.0999721530056058,1.0679172204607352,0.02204653366374087
2013-07-31 03:55:21,0.15097686958523132,1.262677338407337,0.016321275271444145
2013-07-31 04:10:22,0.15345812709312423,1.4840113809866957,0.016508433064236563
2013-07-31 04:25:21,0.1579768700440758,1.5478767890966252,0.020958180731546077
2013-07-31 04:40:22,0.17194680697879539,1.5979675731298861,0.022860892440172458
2013-07-31 04:55:22,0.15372685182374543,1.6989620517326327,0.01771887562182197
2013-07-31 05:10:21,0.1746455587198302,1.6683062995816198,0.021703288495078982
2013-07-31 05:25:22,0.159002637186778,1.7687139571554895,0.008993585303909752
2013-07-31 05:40:22,0.16890427506005232,1.7946343520580774,0.007603800316519993
2013-07-31 05:55:22,0.16703975123333042,1.7962661469990704,0.015845370408750017
2013-07-31 06:10:22,0.1480085936597745,1.7833346021637861,0.013383835023702825
2013-07-31 06:25:22,0.17996060717032009,1.706583272762887,0.007247240768982505
2013-07-31 06:40:22,0.16294120476468088,1.6713368958381583,0.023508958271967532
2013-07-31 06:55:21,0.15896000327837373,1.5851680213991146,0.019460946776211328
2013-07-31 07:10:22,0.10708086150032826,1.6456004427813355,0.003132915513230191
2013-07-31 07:25:22,0.13851799965217634,1.5102818798984112,0.0172224030250651
2013-07-31 07:40:21,0.09912566131752924,1.4397687334844955,0.008097411531390767
2013-07-31 07:55:21,0.11890702877736403,1.2658880027856299,0.01543946352010796
2013-07-31 08:10:21,0.10815677206953428,1.1085377244685033,0.008350280926120716
2013-07-31 08:25:21,0.10749248204037538,0.9462883691063539,0.007217763091732237
