,u,v,w
2012-01-30 17:05:00,0.13677672736821517,-0.8826107840977117,0.04531001958222424
2012-01-30 17:15:00,0.17441438966745978,-0.8628812660902856,0.04902853427564214
2012-01-30 17:25:00,0.17469293444822448,-0.8794189347162459,0.04267732053975258
2012-01-30 17:35:00,0.20004841698852582,-0.8861950434393971,0.03671949624425831
2012-01-30 17:45:00,0.21647924624411988,-0.864686914698477,0.044476837714183454
2012-01-30 17:55:00,0.1936730006915776,-0.8812171066316803,0.028313380753897086
2012-01-30 18:05:00,0.19637897085122238,-0.9019243887129098,0.030289439494316006
2012-01-30 18:15:00,0.18514870464196462,-0.8704572410932903,0.028211967509091617
2012-01-30 18:25:00,,,
2012-01-30 18:35:00,0.1913186441950599,-0.839710457646237,0.021184157913080873
2012-01-30 18:45:00,0.1515352864920707,-0.8244929235387993,0.029299225674938718
2012-01-30 18:55:00,0.14996349708812926,-0.7792605125275345,0.022445513965579058
2012-01-30 19:05:00,0.16038908755031223,-0.7233396495755776,0.015489610430401528
2012-01-30 19:15:00,0.16744173422895287,-0.7098034857681667,0.012866569935896658
2012-01-30 19:25:00,0.03894051693575753,-0.6215589917223773,-0.015803063230904517
2012-01-30 19:35:00,-0.01749868203099797,-0.4914259021613975,-0.041350783777800534
2012-01-30 19:45:00,-0.02474895675305709,-0.3352439568741483,-0.0016098478452197616
2012-01-30 19:55:00,,,
2012-01-30 20:05:00,-0.12150383925584088,-0.21000008644875628,0.000812338312228902
2012-01-30 20:15:00,-0.08366223852361458,-0.17012222925961523,0.007001703317401821
2012-01-30 20:25:00,-0.08506180935851435,-0.10984657990723971,0.0003112837225760269
2012-01-30 20:35:00,-0.09418072618423266,-0.07244507123346569,-0.006031942137585716
2012-01-30 20:45:00,-0.13508935800210545,-0.021097654402949643,-0.008581508442196954
2012-01-30 20:55:00,-0.1445627551898645,0.023219846013221995,-0.0025905718084808325
2012-01-30 21:05:00,-0.1229422545598321,0.08517462747123496,-0.0014452247947003651
2012-01-30 21:15:00,-0.13479247003535094,0.22274397887733577,0.008296524623294622
2012-01-30 21:25:00,,,
2012-01-30 21:35:00,-0.17112180291501086,0.47463397657494344,-0.007085369186979591
2012-01-30 21:45:00,-0.26693997185539753,0.5547341140045541,0.019698669569651158
2012-01-30 21:55:00,-0.3242194008144511,0.4732033585625919,0.029382272227135516
2012-01-30 22:05:00,-0.39365261055969486,0.5780736489823233,0.026559064288404242
2012-01-30 22:15:00,-0.4589744805486622,0.6529698138843802,0.02400376390623709
2012-01-30 22:25:00,-0.4880062414042774,0.7356172475450385,0.022466213537312988
2012-01-30 22:35:00,-0.5353902114383584,0.7924553684582634,0.021809983591485844
2012-01-30 22:45:00,-0.6252811814044017,0.791461957285151,0.022642716215234025
2012-01-30 22:55:00,,,
2012-01-30 23:05:00,-0.644380180544346,0.7671218049573603,0.02332178485132471
2012-01-30 23:15:00,-0.6231101538100218,0.766799537289048,0.03519625863706545
2012-01-30 23:25:00,-0.668694308763766,0.7652253516320023,0.01597883811838505
2012-01-30 23:35:00,-0.6470605811596714,0.8336346628351576,0.024155261116494846
2012-01-30 23:45:00,-0.627474724685993,0.8237847886115733,0.024744406566648842
2012-01-30 23:55:00,-0.7058652731638512,0.9498943123317383,0.030567416058494102
2012-01-31 00:05:00,-0.7142587529496767,0.9237155905376013,0.04706961372402564
2012-01-31 00:15:00,-0.7768769431424849,0.9544633586485392,0.02210207898101304
2012-01-31 00:25:00,,,
2012-01-31 00:35:00,-0.8044261717073415,0.9312145034475484,0.025188128586118134
2012-01-31 00:45:00,-0.728414148914665,0.8380281899958596,-0.008149325831339095
2012-01-31 00:55:00,-0.6900671678130325,0.8116399225887735,0.02652710351146957
2012-01-31 01:05:00,-0.6132418091975893,0.7059369240681831,0.0152034896341124
2012-01-31 01:15:00,-0.5897492736285214,0.7313592185456578,0.029206337569900282
2012-01-31 01:25:00,-0.5583010345584116,0.717591975179129,0.02430952820293661
2012-01-31 01:35:00,-0.5271106989172797,0.6527563204310214,0.023822052837996554
2012-01-31 01:45:00,-0.4733573163564174,0.5932867750261162,0.016329915191238425
2012-01-31 01:55:00,,,
2012-01-31 02:05:00,-0.378190773361528,0.4218500884769286,0.01998481038515819
2012-01-31 02:15:00,-0.2363977009825481,0.2395901466963239,0.02920735185191666
2012-01-31 02:25:00,-0.1735336066703964,0.13144469842545,0.03406005251737885
2012-01-31 02:35:00,-0.12231832043001975,0.026893047190739372,0.016255418412518433
2012-01-31 02:45:00,-0.09279079096991748,0.006329511469211683,0.0042573871116040485
2012-01-31 02:55:00,-0.032684437220341866,-0.09482280899638101,0.0017579769086055904
2012-01-31 03:05:00,0.005642306568568443,-0.17396990538824397,0.005274094736011904
2012-01-31 03:15:00,0.07674970385312924,-0.2630626531727864,0.008097761011544398
2012-01-31 03:25:00,,,
2012-01-31 03:35:00,0.11805414812659855,-0.29977475881408816,0.019979546983639424
2012-01-31 03:45:00,0.1296945998741443,-0.30231449338749616,0.017012494777399592
2012-01-31 03:55:00,0.10115807566529482,-0.3665168870672064,0.022581932868819554
2012-01-31 04:05:00,0.07508809380144205,-0.4532384111089514,0.01895200800157519
2012-01-31 04:15:00,0.003103057472394508,-0.5180720067202518,0.010440759393707175
2012-01-31 04:25:00,-0.0749078404095926,-0.6707055047531529,0.014136051577716725
2012-01-31 04:35:00,-0.07208033399584807,-0.7873137998554355,0.03198374340648905
2012-01-31 04:45:00,0.3055189423041433,-0.6941278964625589,0.027058841410059903
2012-01-31 04:55:00,,,
