ADCP_Location,Lsmaj,Lsmaj_ci,Lsmin,Lsmin_ci,bottomFriction,frq,g,g_ci,lat,lind,lon,name,reftime,theta,theta_ci,umean,vmean
DG1,0.008539948305121794,0.011176762862316744,-0.0034415738093948457,0.009411812674892573,wesley,0.03721850247998121,238.37568131837583,94.78358940606039,44.6901,10.0,-65.7668,Q1  ,734906.8506944445,140.40328508191303,83.59028582339259,-0.23951682593442128,-0.004548950770448972
DG1,0.02362393908278008,0.011575087502453354,-0.005578250535060933,0.009447963389046783,wesley,0.03873065444897992,266.3667524713276,30.553099110222593,44.6901,12.0,-65.7668,O1  ,734906.8506944445,141.56875802880074,25.068543875572267,-0.23951682593442128,-0.004548950770448972
DG1,0.030669472096193612,0.07685604117969437,-0.0028809101849879976,0.013316306969569933,wesley,0.041552587111809654,104.47305280217297,142.97133939393714,44.6901,18.0,-65.7668,P1  ,734906.8506944445,170.27545842197065,28.84794929098827,-0.23951682593442128,-0.004548950770448972
DG1,0.048975174594546395,0.06158593059821411,0.014654689790197507,0.050714098851467826,wesley,0.04178074622152369,339.1867368972223,80.63112276847761,44.6901,20.0,-65.7668,K1  ,734906.8506944445,140.09334584032808,70.50768532325864,-0.23951682593442128,-0.004548950770448972
DG1,0.171683142687718,0.009698183394119167,0.008924433652563249,0.011900368712629224,wesley,0.07899924870150489,159.15238916247813,3.248084423921346,44.6901,41.0,-65.7668,N2  ,734906.8506944445,123.56770241355535,3.9908178152609652,-0.23951682593442128,-0.004548950770448972
DG1,1.2631269024509002,0.009207770014095503,0.024391582103585607,0.012891667522372582,wesley,0.08051140067050361,186.68380622133074,0.41787984297961733,44.6901,47.0,-65.7668,M2  ,734906.8506944445,116.97279510417223,0.5851766796060948,-0.23951682593442128,-0.004548950770448972
DG1,0.07858168685781908,0.07202840623922277,0.024768070943093776,0.03108058687841198,wesley,0.08333333333333333,173.97388493351463,58.034189361287574,44.6901,56.0,-65.7668,S2  ,734906.8506944445,156.84926477239136,31.351759912283576,-0.23951682593442128,-0.004548950770448972
DG1,0.22211372714201336,0.030509728329452805,0.04638651241471334,0.07910623079180365,wesley,0.08356149244304738,178.83150498047013,9.469387577234185,44.6901,58.0,-65.7668,K2  ,734906.8506944445,111.01007738910056,20.951256119736218,-0.23951682593442128,-0.004548950770448972
DG2,0.007902174572279659,0.0037955134606118645,0.00024218412002725322,0.0043221990291484,wesley,0.03721850247997048,286.5291664115103,27.564228028703297,44.6819,10.0,-65.7641,Q1  ,734916.1006944445,108.17876145567688,31.37757425263454,0.1129387203337398,-0.01354730438622755
DG2,0.02624663100511697,0.003768210263120965,0.0030548394866918554,0.004269047472180414,wesley,0.03873065444898402,273.7008769830878,8.44177530354425,44.6819,12.0,-65.7641,O1  ,734916.1006944445,106.25780663578726,9.462000011130904,0.1129387203337398,-0.01354730438622755
DG2,0.02302479096117163,0.005197860304801469,-0.002973659173403004,0.011495774217531785,wesley,0.04155258711180917,287.6724205513583,13.615963150821624,44.6819,18.0,-65.7641,P1  ,734916.1006944445,108.2499117701767,29.335014736394776,0.1129387203337398,-0.01354730438622755
DG2,0.052106892195241436,0.0054079692465773405,-0.0012595159142452898,0.011839226618792756,wesley,0.04178074622152417,279.8237633975823,6.026264193847428,44.6819,20.0,-65.7641,K1  ,734916.1006944445,109.53636892820305,12.876614414408177,0.1129387203337398,-0.01354730438622755
DG2,0.2985058552327456,0.021205348732485304,-0.0049574647963799845,0.010103563655320068,wesley,0.07899924870149465,167.35838151643583,4.06850193443389,44.6819,41.0,-65.7641,N2  ,734916.1006944445,113.96122168178812,1.9424366617967461,0.1129387203337398,-0.01354730438622755
DG2,1.8188746074860846,0.02137896770489729,-0.01971173166180462,0.00967993848895714,wesley,0.08051140067050819,180.85825394771555,0.674898162208311,44.6819,47.0,-65.7641,M2  ,734916.1006944445,112.64574350517628,0.30443464999904196,0.1129387203337398,-0.01354730438622755
