ADCP_Location,Lsmaj,Lsmin,bottomFriction,frq,g,lat,lind,lon,name,reftime,theta,umean,vmean
DG1,0.002959296803566291,5.694684975925601e-05,wesley,0.03721850248012738,172.22710801431538,44.6901,10.0,-65.7668,Q1  ,734780.7638888889,105.58155362127974,-0.08313815186666121,0.11175008180480193
DG1,0.012384073370899189,-0.0002593076693898763,wesley,0.03873065444892396,268.9153827412567,44.6901,12.0,-65.7668,O1  ,734780.7638888889,107.76051738501384,-0.08313815186666121,0.11175008180480193
DG1,0.008853351014900097,-0.0006556577472912216,wesley,0.04155258711181626,282.9995548809263,44.6901,18.0,-65.7668,P1  ,734780.7638888889,103.06052414926793,-0.08313815186666121,0.11175008180480193
DG1,0.02484434113375573,-0.0014104996572102506,wesley,0.04178074622151706,289.4257779533823,44.6901,20.0,-65.7668,K1  ,734780.7638888889,106.15528654357479,-0.08313815186666121,0.11175008180480193
DG1,0.20752402068892067,-0.007566240408566946,wesley,0.07899924870164445,158.16305053461434,44.6901,41.0,-65.7668,N2  ,734780.7638888889,107.16582429061054,-0.08313815186666121,0.11175008180480193
DG1,1.0529208058238781,-0.03951235167224565,wesley,0.08051140067044102,185.80004467340336,44.6901,47.0,-65.7668,M2  ,734780.7638888889,107.19755317882388,-0.08313815186666121,0.11175008180480193
DG1,0.2103028671308078,-0.007218428063207688,wesley,0.08333333333333333,186.05401127558008,44.6901,56.0,-65.7668,S2  ,734780.7638888889,106.72417438293868,-0.08313815186666121,0.11175008180480193
DG1,0.1507485633482895,-0.006563398554359071,wesley,0.08356149244303412,354.85003239723846,44.6901,58.0,-65.7668,K2  ,734780.7638888889,106.89234504233933,-0.08313815186666121,0.11175008180480193
DG2,0.0030541301078153985,-0.0005594968039102253,wesley,0.03721850248012738,163.5349511758743,44.6819,10.0,-65.7641,Q1  ,734780.7638888889,93.6001575846672,0.08941520376667773,0.22335380341842226
DG2,0.01591071003966654,0.0018853882018970737,wesley,0.03873065444892396,268.7072783531854,44.6819,12.0,-65.7641,O1  ,734780.7638888889,96.32275936382587,0.08941520376667773,0.22335380341842226
DG2,0.012803336632706584,-0.0012338343771745265,wesley,0.04155258711181626,287.51881230175854,44.6819,18.0,-65.7641,P1  ,734780.7638888889,100.66955732038753,0.08941520376667773,0.22335380341842226
DG2,0.032885155248591945,0.0011546927032560703,wesley,0.04178074622151706,293.83411723693655,44.6819,20.0,-65.7641,K1  ,734780.7638888889,102.30789344498052,0.08941520376667773,0.22335380341842226
DG2,0.2743208136217586,0.008187777783666639,wesley,0.07899924870164445,154.4895687618665,44.6819,41.0,-65.7641,N2  ,734780.7638888889,102.80743194246332,0.08941520376667773,0.22335380341842226
DG2,1.4204563125514853,0.031211012136398097,wesley,0.08051140067044102,182.4933583611813,44.6819,47.0,-65.7641,M2  ,734780.7638888889,102.89825946246128,0.08941520376667773,0.22335380341842226
DG2,0.28968280866820284,0.0006417815249799841,wesley,0.08333333333333333,177.49914708184554,44.6819,56.0,-65.7641,S2  ,734780.7638888889,101.5770638256281,0.08941520376667773,0.22335380341842226
DG2,0.2306876140810703,-0.004694050832362684,wesley,0.08356149244303412,350.02020332787663,44.6819,58.0,-65.7641,K2  ,734780.7638888889,103.46782883923836,0.08941520376667773,0.22335380341842226
DG3,0.0022829294720205285,-0.0005833311218755036,wesley,0.03721850248012738,171.5410542461326,44.6819,10.0,-65.7618,Q1  ,734780.7638888889,104.20078082699203,0.14381985647417508,-0.1443077905107971
DG3,0.020243738845482036,0.0011748944518738622,wesley,0.03873065444892396,285.62731973645816,44.6819,12.0,-65.7618,O1  ,734780.7638888889,105.36965288887751,0.14381985647417508,-0.1443077905107971
DG3,0.010119759933248831,0.00034038983560203285,wesley,0.04155258711181626,279.68028109562346,44.6819,18.0,-65.7618,P1  ,734780.7638888889,110.76708347387599,0.14381985647417508,-0.1443077905107971
DG3,0.04014857050836848,0.0016323170275991325,wesley,0.04178074622151706,293.58858539488335,44.6819,20.0,-65.7618,K1  ,734780.7638888889,108.0221402911304,0.14381985647417508,-0.1443077905107971
DG3,0.4042784257147298,-0.0021897294895412978,wesley,0.07899924870164445,157.36943394306823,44.6819,41.0,-65.7618,N2  ,734780.7638888889,108.86553299248169,0.14381985647417508,-0.1443077905107971
DG3,2.0455084315502425,0.0036165051278782556,wesley,0.08051140067044102,183.11509165544527,44.6819,47.0,-65.7618,M2  ,734780.7638888889,108.91080242531064,0.14381985647417508,-0.1443077905107971
DG3,0.3547121979956245,-0.0007024867522485156,wesley,0.08333333333333333,180.2458620106663,44.6819,56.0,-65.7618,S2  ,734780.7638888889,110.74967141897025,0.14381985647417508,-0.1443077905107971
DG3,0.29531395746735595,0.011425600148775805,wesley,0.08356149244303412,339.9388664371706,44.6819,58.0,-65.7618,K2  ,734780.7638888889,109.79014705711255,0.14381985647417508,-0.1443077905107971
DG4,0.0029573559027094064,-0.0008526749716845819,wesley,0.03721850248012738,178.44833113804174,44.6803,10.0,-65.7633,Q1  ,734780.7638888889,102.85920351153942,0.058747127276439735,0.02231320402401544
DG4,0.02094120662118583,0.0007791582501923602,wesley,0.03873065444892396,279.199910829022,44.6803,12.0,-65.7633,O1  ,734780.7638888889,101.36733006272438,0.058747127276439735,0.02231320402401544
DG4,0.01041483514984931,0.0006503703896214427,wesley,0.04155258711181626,271.4262937564746,44.6803,18.0,-65.7633,P1  ,734780.7638888889,108.04158536837568,0.058747127276439735,0.02231320402401544
