,u,v,w
2012-09-17 15:15:00,-0.060700102019618105,-0.07871424652653632,0.003145754846492545
2012-09-17 15:25:00,,,
2012-09-17 15:35:00,-0.11452808898452954,-0.16418795545033785,0.005603031312594339
2012-09-17 15:45:00,,,
2012-09-17 15:55:00,-0.1457769015673146,-0.2991823056118118,0.005912449026509392
2012-09-17 16:05:00,,,
2012-09-17 16:15:00,-0.18049880813503236,-0.5816940801008874,0.008923802286481191
2012-09-17 16:25:00,,,
2012-09-17 16:35:00,-0.38602252864245623,-1.2397828138452665,0.01329063634312743
2012-09-17 16:45:00,-0.6518466382371663,-0.8932768903441731,0.010919610617507985
2012-09-17 16:55:00,,,
2012-09-17 17:05:00,-0.6168093980794424,-0.9997072653354004,0.0031080880956104555
2012-09-17 17:15:00,,,
2012-09-17 17:25:00,-0.4971119261419248,-0.7172945749690345,0.007939565541973703
2012-09-17 17:35:00,,,
2012-09-17 17:45:00,-0.5737143377501706,-1.0691623867490276,0.008087410822383843
2012-09-17 17:55:00,,,
2012-09-17 18:05:00,-0.5339080705134018,-0.8595635218981128,0.0024953435040487456
2012-09-17 18:15:00,-0.6335848931550658,-0.6239008877732817,0.0045300516519256265
2012-09-17 18:25:00,,,
2012-09-17 18:35:00,-0.45191306942895804,-0.6597784795766561,0.003805800658117397
2012-09-17 18:45:00,,,
2012-09-17 18:55:00,-0.5123713203171449,-0.5212283573959151,0.009230187544036532
2012-09-17 19:05:00,,,
2012-09-17 19:15:00,-0.40389810821757766,-0.5860573693960069,0.00038325164170627084
2012-09-17 19:25:00,,,
2012-09-17 19:35:00,-0.4490140859350549,-0.42779603570609337,0.008259663290229513
2012-09-17 19:45:00,-0.27208503511162385,-0.4983114819992908,0.0011737458375926102
2012-09-17 19:55:00,,,
2012-09-17 20:05:00,-0.38939827247345526,-0.50078565268919,0.008859922401290847
2012-09-17 20:15:00,,,
2012-09-17 20:25:00,-0.2549955390051582,-0.27530984503787226,0.0035010217958627537
2012-09-17 20:35:00,,,
2012-09-17 20:45:00,-0.26342820010885126,-0.22067508899950689,-0.0005254931999207332
2012-09-17 20:55:00,,,
2012-09-17 21:05:00,-0.17137639552043593,-0.15518256633272143,-0.003449425769772264
2012-09-17 21:15:00,-0.1671476470270411,-0.05840443333064428,-0.0022664327067720225
2012-09-17 21:25:00,,,
2012-09-17 21:35:00,-0.14566327827174363,0.028444926802373992,-0.000853675596253335
2012-09-17 21:45:00,,,
2012-09-17 21:55:00,-0.06626956642790155,0.15325670354501197,0.0035491649361871843
2012-09-17 22:05:00,,,
2012-09-17 22:15:00,-0.027919853474937396,0.2726756744750051,0.005277454431511721
2012-09-17 22:25:00,,,
2012-09-17 22:35:00,0.018692118227914164,0.3632176184010718,0.0071660650875661844
2012-09-17 22:45:00,0.05549090851012099,0.4143669718808051,0.012886383731397392
2012-09-17 22:55:00,,,
2012-09-17 23:05:00,0.09345129796612439,0.451728571306196,0.01597059142886706
2012-09-17 23:15:00,,,
2012-09-17 23:25:00,0.1414309517783307,0.4978666943965028,0.016688450556414644
2012-09-17 23:35:00,,,
2012-09-17 23:45:00,0.2062119593143713,0.550825795026707,0.02137912732167945
2012-09-17 23:55:00,,,
2012-09-18 00:05:00,0.18839310236091086,0.5700242411123522,0.021829190307048673
2012-09-18 00:15:00,0.18825553406811438,0.5540023916399083,0.017302312405028858
2012-09-18 00:25:00,,,
2012-09-18 00:35:00,0.16921604338763266,0.5442359355308363,0.016287433908220725
2012-09-18 00:45:00,,,
2012-09-18 00:55:00,0.16716145678483907,0.5488647761168148,0.01572201434745817
2012-09-18 01:05:00,,,
2012-09-18 01:15:00,0.1742272020873136,0.5480312163222785,0.01700346918782991
2012-09-18 01:25:00,,,
2012-09-18 01:35:00,0.1539520065658421,0.5138018895412417,0.018525586820713733
2012-09-18 01:45:00,0.1419799636221467,0.4792196948476939,0.018769238124867603
2012-09-18 01:55:00,,,
